       1          4.7234758911          6.8364048319          1.3302630868          0.6824911133         -0.8538681137          1.0523867958
       2          3.7095421906          6.6979904041          0.4797440796         -0.2525094482          0.8589041290         -0.8378204102
       3          2.8077668781          5.5411836309          0.4290860803         -0.5842218719         -0.0282690567          0.2947803127
       4          3.4210882235          4.3172245684         -0.2954669381         -0.7263765427         -0.4661316330         -1.3985380784
       5          4.6012389803          3.8730635457          0.1510083050          1.1776802933          0.1644457039          0.6608050281

       1          4.7212817192          6.8252027731          1.3372709498         -1.0420807922         -1.2505269058          1.0369498405
       2          3.6856096373          6.6942148447          0.5099922847          1.0185372604          0.0734447037         -2.0897152848
       3          2.7934329715          5.5285548353          0.4373906488         -0.0926285225         -0.5402646805          1.4971488419
       4          3.4120236478          4.3036754065         -0.2879742976          0.5088477852          1.0686064560         -0.5111975831
       5          4.6111752214          3.8838294754          0.1346339028          0.0978214432          0.2502754028         -0.0395971820

       1          4.7183635941          6.8150492954          1.3432220116         -2.0603059448         -1.8881045746          1.5098115662
       2          3.6612239790          6.6890991402          0.5420085809          1.8768789963          0.2145401672         -4.2964190769
       3          2.7796436005          5.5154749918          0.4461382033         -0.0350995361         -0.9600082016          3.5641032633
       4          3.4030209546          4.2901383476         -0.2782809540          0.6560546089          2.0353476257         -0.9679540033
       5          4.6192601604          3.8930345702          0.1164988082         -0.0350395538          0.3490702171          0.0611081604

       1          4.7166885090          6.8041683750          1.3472132981         -3.3433910126         -2.2504249847          2.5279980824
       2          3.6351730390          6.6836725798          0.5771484383          2.8580389595          0.0661797653         -7.0296616655
       3          2.7651532869          5.5019756384          0.4539205423          0.3224869339         -1.5309616104          5.9233422997
       4          3.3941051221          4.2754482918         -0.2678691787          0.8257220894          3.1066917786         -1.4248786528
       5          4.6269027243          3.9021516304          0.0974667283         -0.2928757339          0.2981304016         -0.1063717486

       1          4.7181449585          6.7923740425          1.3470797653         -4.6485415039         -2.8187574890          3.5375653198
       2          3.6067308230          6.6771554403          0.6186399813          3.5987230400          0.1152403305        -10.0249187302
       3          2.7481881270          5.4886858101          0.4559292758          1.0786270409         -1.7423899109          8.7058757511
       4          3.3857858019          4.2582412262         -0.2563806684          0.7904018875          3.9994261963         -2.2470684017
       5          4.6350861311          3.9113807831          0.0777217639         -0.3962689041          0.2804830811         -0.2252360604

       1          4.7247997360          6.7882587833          1.3376384599         -6.2557639771         -4.1254166595          5.5019599209
       2          3.5747882295          6.6706834822          0.6698792335          4.2919294655          1.1486821701        -14.4793665205
       3          2.7295982308          5.4781091299          0.4454971418          2.0398308388         -1.8939700943         12.8656417785
       4          3.3774027886          4.2371857290         -0.2434793487          0.6625886391          4.1271290268         -3.6646487489
       5          4.6427883606          3.9190114264          0.0558658455         -0.2528394043          0.5043264488         -0.3277544523

       1          4.7336833639          6.7977392006          1.3241103709         -6.3957360855         -6.2442994080          7.7225708744
       2          3.5398880105          6.6639800768          0.7401787597          4.7230105019          4.9117767899        -19.0728403059
       3          2.7165250149          5.4766084509          0.4146023713          0.5053148773         -3.1113491104         16.7791713350
       4          3.3710237980          4.2121694059         -0.2255083011          1.0410979889          3.7765059372         -4.9231010793
