       1          0.0133944263
       2          0.0121253329
       3          0.0117102821
       4          0.0118846689
       5          0.0122621234
       6          0.0187565015
       7          0.0354935906
       8          0.0601608338
       9          0.0415738484
      10          0.0264214830
      11          0.0233880880
      12          0.0203760426
      13          0.0192434369
      14          0.0198803001

       1          0.0387553334
       2          0.0405693725
       3          0.0440784371
       4          0.0507245590
       5          0.0607262422
       6          0.0787717228
       7          0.1117681769
       8          0.1552754539
       9          0.1070844450
      10          0.0711004167
      11          0.0525662564
      12          0.0434346647
      13          0.0382220265
      14          0.0354539772

       1          0.0208305837
       2          0.0209224465
       3          0.0212783112
       4          0.0216441954
       5          0.0237966347
       6          0.0335804683
       7          0.0560043996
       8          0.0861470004
       9          0.0456868660
      10          0.0199899022
      11          0.0108853668
      12          0.0173936808
      13          0.0171530651
      14          0.0170819359

       1          0.0179411812
       2          0.0189277932
       3          0.0200921596
       4          0.0222997772
       5          0.0260778243
       6          0.0314557864
       7          0.0411303283
       8          0.0492938803
       9          0.0337347022
      10          0.0234044807
      11          0.0185689037
      12          0.0168772459
      13          0.0159442741
      14          0.0161857947

       1          0.0219716904
       2          0.0218856498
       3          0.0224443675
       4          0.0232810872
       5          0.0243973815
       6          0.0257219409
       7          0.0271714940
       8          0.0240333444
       9          0.0245359941
      10          0.0233300763
      11          0.0232398507
      12          0.0226230743
      13          0.0223757783
      14          0.0225451472

