       1          0.0140389324
       2          0.0139665821
       3          0.0143077874
       4          0.0156548685
       5          0.0199529447
       6          0.0274524024
       7          0.0369337956
       8          0.0431852061
       9          0.0407418203
      10          0.0337004236
      11          0.0274802878
      12          0.0237114006
      13          0.0216742754
      14          0.0208935292

       1          0.0399859593
       2          0.0422135886
       3          0.0470472662
       4          0.0553612285
       5          0.0684177800
       6          0.0866848291
       7          0.1058528624
       8          0.1141271817
       9          0.1024153434
      10          0.0809742553
      11          0.0617068727
      12          0.0488329230
      13          0.0413922474
      14          0.0380019027

       1          0.0223239912
       2          0.0228609208
       3          0.0241298227
       4          0.0267916783
       5          0.0327149643
       6          0.0431961377
       7          0.0543834593
       8          0.0583432368
       9          0.0491046796
      10          0.0352787579
      11          0.0237856830
      12          0.0202607391
      13          0.0197036860
      14          0.0195173630

       1          0.0180888429
       2          0.0190035934
       3          0.0208056005
       4          0.0237107067
       5          0.0279770075
       6          0.0333348376
       7          0.0381466600
       8          0.0389990134
       9          0.0341509855
      10          0.0272331745
      11          0.0215543116
      12          0.0182024400
      13          0.0166275305
      14          0.0160609939

       1          0.0222715476
       2          0.0224877847
       3          0.0229692958
       4          0.0237382546
       5          0.0247315606
       6          0.0256284524
       7          0.0259842623
       8          0.0256017839
       9          0.0249014014
      10          0.0241626093
      11          0.0235079423
      12          0.0230166755
      13          0.0227454788
      14          0.0226406321

